concept1,ICD9CM,relationship1,concept2,SNOMED,relationship2,concept3,ICD10CM
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified elbow, with tophus (tophi)",M1A.2291
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified elbow, with tophus (tophi)",M1A.2291
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified hip, with tophus (tophi)",M1A.0591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified hip, with tophus (tophi)",M1A.0591
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified hip, with tophus (tophi)",M1A.0591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified hip, with tophus (tophi)",M1A.0591
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified hip, with tophus (tophi)",M1A.0591
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, left hand",M10.342
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified hand, with tophus (tophi)",M1A.3491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified hand, with tophus (tophi)",M1A.3491
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified hand, with tophus (tophi)",M1A.3491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified hand, with tophus (tophi)",M1A.3491
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified hand, with tophus (tophi)",M1A.3491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified hip, without tophus (tophi)",M1A.2590
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified hip, without tophus (tophi)",M1A.2590
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right wrist, without tophus (tophi)",M1A.2310
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right wrist, without tophus (tophi)",M1A.2310
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, vertebrae",M10.48
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, left hip",M10.352
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified hip",M10.259
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified hip",M10.259
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left ankle and foot",M10.172
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left ankle and foot",M10.172
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified ankle and foot, with tophus (tophi)",M1A.3791
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified ankle and foot, with tophus (tophi)",M1A.3791
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified ankle and foot, with tophus (tophi)",M1A.3791
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified ankle and foot, with tophus (tophi)",M1A.3791
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified ankle and foot, with tophus (tophi)",M1A.3791
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, left ankle and foot",M10.472
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout, unspecified, with tophus (tophi)",M1A.9XX1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout, unspecified, with tophus (tophi)",M1A.9XX1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout, unspecified, with tophus (tophi)",M1A.9XX1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout, unspecified, with tophus (tophi)",M1A.9XX1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout, unspecified, with tophus (tophi)",M1A.9XX1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right hand, with tophus (tophi)",M1A.3411
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right hand, with tophus (tophi)",M1A.3411
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right hand, with tophus (tophi)",M1A.3411
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right hand, with tophus (tophi)",M1A.3411
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right hand, with tophus (tophi)",M1A.3411
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right wrist, with tophus (tophi)",M1A.3311
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right wrist, with tophus (tophi)",M1A.3311
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right wrist, with tophus (tophi)",M1A.3311
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right wrist, with tophus (tophi)",M1A.3311
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right wrist, with tophus (tophi)",M1A.3311
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right ankle and foot, without tophus (tophi)",M1A.2710
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right ankle and foot, without tophus (tophi)",M1A.2710
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right hip, without tophus (tophi)",M1A.2510
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right hip, without tophus (tophi)",M1A.2510
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left knee, without tophus (tophi)",M1A.0620
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left knee, without tophus (tophi)",M1A.0620
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left hip, without tophus (tophi)",M1A.0520
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left hip, without tophus (tophi)",M1A.0520
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right hip, with tophus (tophi)",M1A.0511
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right hip, with tophus (tophi)",M1A.0511
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right hip, with tophus (tophi)",M1A.0511
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right hip, with tophus (tophi)",M1A.0511
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right hip, with tophus (tophi)",M1A.0511
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, unspecified knee",M10.469
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, left knee",M10.362
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, unspecified site",M10.30
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right wrist",M10.131
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right wrist",M10.131
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified knee",M10.069
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified knee",M10.069
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right knee, with tophus (tophi)",M1A.3611
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right knee, with tophus (tophi)",M1A.3611
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right knee, with tophus (tophi)",M1A.3611
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right knee, with tophus (tophi)",M1A.3611
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right knee, with tophus (tophi)",M1A.3611
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right knee, with tophus (tophi)",M1A.2611
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right knee, with tophus (tophi)",M1A.2611
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right knee, with tophus (tophi)",M1A.2611
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right knee, with tophus (tophi)",M1A.2611
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right knee, with tophus (tophi)",M1A.2611
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, right ankle and foot",M10.471
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, unspecified site",M10.40
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left ankle and foot, without tophus (tophi)",M1A.0720
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left ankle and foot, without tophus (tophi)",M1A.0720
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left knee, with tophus (tophi)",M1A.0621
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left knee, with tophus (tophi)",M1A.0621
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left knee, with tophus (tophi)",M1A.0621
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left knee, with tophus (tophi)",M1A.0621
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left knee, with tophus (tophi)",M1A.0621
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, right hand",M10.441
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, left shoulder",M10.312
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified elbow",M10.229
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified elbow",M10.229
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified knee",M10.169
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified knee",M10.169
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right wrist, with tophus (tophi)",M1A.4311
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right wrist, with tophus (tophi)",M1A.4311
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right wrist, with tophus (tophi)",M1A.4311
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right wrist, with tophus (tophi)",M1A.4311
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right wrist, with tophus (tophi)",M1A.4311
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, left hand",M10.442
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, right wrist",M10.431
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, unspecified wrist",M10.339
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left shoulder",M10.212
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left shoulder",M10.212
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, right knee",M10.461
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified knee",M10.269
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified knee",M10.269
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified wrist",M10.039
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified wrist",M10.039
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, multiple sites, without tophus (tophi)",M1A.49X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, multiple sites, without tophus (tophi)",M1A.49X0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right ankle and foot, with tophus (tophi)",M1A.4711
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right ankle and foot, with tophus (tophi)",M1A.4711
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right ankle and foot, with tophus (tophi)",M1A.4711
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right ankle and foot, with tophus (tophi)",M1A.4711
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right ankle and foot, with tophus (tophi)",M1A.4711
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right shoulder, with tophus (tophi)",M1A.3111
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right shoulder, with tophus (tophi)",M1A.3111
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right shoulder, with tophus (tophi)",M1A.3111
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right shoulder, with tophus (tophi)",M1A.3111
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right shoulder, with tophus (tophi)",M1A.3111
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified knee, with tophus (tophi)",M1A.2691
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified knee, with tophus (tophi)",M1A.2691
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified knee, with tophus (tophi)",M1A.2691
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified knee, with tophus (tophi)",M1A.2691
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified knee, with tophus (tophi)",M1A.2691
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left hand, with tophus (tophi)",M1A.2421
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left hand, with tophus (tophi)",M1A.2421
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left hand, with tophus (tophi)",M1A.2421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left hand, with tophus (tophi)",M1A.2421
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left hand, with tophus (tophi)",M1A.2421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified elbow, without tophus (tophi)",M1A.0290
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified elbow, without tophus (tophi)",M1A.0290
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left knee, without tophus (tophi)",M1A.4620
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left knee, without tophus (tophi)",M1A.4620
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, multiple sites",M10.09
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, multiple sites",M10.09
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, unspecified elbow",M10.429
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, unspecified ankle and foot",M10.379
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right shoulder",M10.211
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right shoulder",M10.211
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right shoulder, with tophus (tophi)",M1A.4111
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right shoulder, with tophus (tophi)",M1A.4111
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right shoulder, with tophus (tophi)",M1A.4111
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right shoulder, with tophus (tophi)",M1A.4111
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right shoulder, with tophus (tophi)",M1A.4111
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, multiple sites, with tophus (tophi)",M1A.29X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, multiple sites, with tophus (tophi)",M1A.29X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, multiple sites, with tophus (tophi)",M1A.29X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, multiple sites, with tophus (tophi)",M1A.29X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, multiple sites, with tophus (tophi)",M1A.29X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left hand, with tophus (tophi)",M1A.4421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left hand, with tophus (tophi)",M1A.4421
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left hand, with tophus (tophi)",M1A.4421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left hand, with tophus (tophi)",M1A.4421
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left hand, with tophus (tophi)",M1A.4421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right ankle and foot, with tophus (tophi)",M1A.3711
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right ankle and foot, with tophus (tophi)",M1A.3711
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right ankle and foot, with tophus (tophi)",M1A.3711
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right ankle and foot, with tophus (tophi)",M1A.3711
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right ankle and foot, with tophus (tophi)",M1A.3711
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right elbow, without tophus (tophi)",M1A.3210
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right elbow, without tophus (tophi)",M1A.3210
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified site, without tophus (tophi)",M1A.30X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified site, without tophus (tophi)",M1A.30X0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified wrist, with tophus (tophi)",M1A.4391
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified wrist, with tophus (tophi)",M1A.4391
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified wrist, with tophus (tophi)",M1A.4391
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified wrist, with tophus (tophi)",M1A.4391
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified wrist, with tophus (tophi)",M1A.4391
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified hand, without tophus (tophi)",M1A.2490
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified hand, without tophus (tophi)",M1A.2490
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left hand, without tophus (tophi)",M1A.2420
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left hand, without tophus (tophi)",M1A.2420
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified shoulder, without tophus (tophi)",M1A.2190
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified shoulder, without tophus (tophi)",M1A.2190
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified hand, without tophus (tophi)",M1A.0490
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified hand, without tophus (tophi)",M1A.0490
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified knee, with tophus (tophi)",M1A.4691
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified knee, with tophus (tophi)",M1A.4691
